,Classifier,Accuracy,Precision,Recall,F1 Score,ROC AUC
0,Logistic Regression,0.7280832095096582,0.6376237623762376,1.0,0.7787182587666264,0.9929836668967104
1,Random Forest,0.537890044576523,0.5106382978723404,0.8198757763975155,0.6293206197854587,0.5638371290545203
2,XGBoost,0.5319465081723626,0.5065176908752328,0.84472049689441,0.6332945285215367,0.5304144325883456
3,LightGBM,0.5274888558692422,0.5038461538461538,0.8136645962732919,0.6223277909738718,0.5542504999026738
4,Decision Tree,0.5170876671619614,0.4965034965034965,0.6614906832298136,0.5672436750998668,0.5230530339225992
5,Support Vector Machine,0.4784546805349183,0.47442680776014107,0.8354037267080745,0.6051743532058492,0.595503530286139
6,K-Nearest Neighbors,0.5052005943536404,0.48635235732009924,0.6086956521739131,0.5406896551724139,0.4970625188016493
7,Simple Transformer,0.4784546805349183,0.4784546805349183,1.0,0.6472361809045226,0.5
