Date,Open,High,Low,Close,Adj Close,Volume,Target
2014-09-17,-0.7653573795350793,-0.7656517613383502,-0.7664729159413228,-0.766355518249163,-0.766355518249163,-0.8172529549913287,0
2014-09-18,-0.7659135210942546,-0.7663331449609168,-0.7689755739568308,-0.7683878679889434,-0.7683878679889434,-0.8165807880168745,0
2014-09-19,-0.767936784685208,-0.768081166018835,-0.7707942304155595,-0.7702194171525066,-0.7702194171525066,-0.8164087462329479,0
2014-09-20,-0.7697545535138893,-0.7683545259434147,-0.770453631148347,-0.7693477571917574,-0.7693477571917574,-0.8164616178546574,1
2014-09-21,-0.7689261505740138,-0.7690091679540927,-0.7702437075012342,-0.7699707318535431,-0.7699707318535431,-0.8169764415662852,0
2014-09-22,-0.7694811159278336,-0.7693410065458249,-0.769992346520194,-0.7697649271013075,-0.7697649271013075,-0.8170992212767697,1
2014-09-23,-0.7692963122011195,-0.7672547619917277,-0.7700517344636669,-0.7676865498781847,-0.7676865498781847,-0.816049303311302,1
2014-09-24,-0.767217335306169,-0.7675826858320288,-0.7684645789024385,-0.7684641731883775,-0.7684641731883775,-0.8167738062324802,0
2014-09-25,-0.7679952763973688,-0.7683410356732249,-0.7692070126944451,-0.7691827909656662,-0.7691827909656662,-0.8169647117859931,0
2014-09-26,-0.7687196058976666,-0.7688578839472622,-0.7698090933491184,-0.7696244915195277,-0.7696244915195277,-0.8172327295058911,0
2014-09-27,-0.7692058876445219,-0.7693586523338485,-0.7699769425234734,-0.7699275458522128,-0.7699275458522128,-0.8175547102227029,0
2014-09-28,-0.7694582006577896,-0.7696962711571539,-0.7714434787686402,-0.771307755672236,-0.771307755672236,-0.8171249687202364,0
2014-09-29,-0.770850588410822,-0.7706481824827249,-0.7715766388416789,-0.7714136541431894,-0.7714136541431894,-0.816680188267707,0
2014-09-30,-0.7709024715076357,-0.7703009274895822,-0.7715000656322555,-0.7707045507111117,-0.7707045507111117,-0.8165695688800265,1
2014-10-01,-0.7702021090764019,-0.7702767166817879,-0.7710330525821191,-0.7709102329044019,-0.7709102329044019,-0.8169939986894114,0
2014-10-02,-0.7704145215849155,-0.7706309575764281,-0.7715316991866812,-0.7714380603430331,-0.7714380603430331,-0.8172168645149624,0
2014-10-03,-0.7709584939425276,-0.7711008306712035,-0.7724920130911938,-0.7723994315663258,-0.7723994315663258,-0.8167601139793436,0
2014-10-04,-0.7719028322775938,-0.7718962787554215,-0.774527151064996,-0.7742928880815168,-0.7742928880815168,-0.8159423185034302,0
2014-10-05,-0.7738160923936351,-0.7732625361944363,-0.7768561673817832,-0.7748091610398758,-0.7748091610398758,-0.8141364632073677,0
2014-10-06,-0.7743427685006983,-0.7730618068553282,-0.7760118904442448,-0.7742179423436161,-0.7742179423436161,-0.8143515490296045,1
2014-10-07,-0.773713065098244,-0.7734163491674495,-0.7748711244485142,-0.7738405607243241,-0.7738405607243241,-0.8158440246467268,1
