Open,High,Low,Close,Adj Close,Volume
-0.8637067639148566,-0.8636214333281336,-0.8654949552427134,-0.8648322494746324,-0.8648322494746324,-0.8599846338938009
-0.8642682845950184,-0.864310306461162,-0.8680157961017132,-0.8668835919479801,-0.8668835919479801,-0.8592833952137039
-0.8663111176273551,-0.8660775411038617,-0.869847665850292,-0.8687322573217104,-0.8687322573217104,-0.8591039124987428
-0.8681464683078034,-0.8663539056970997,-0.8695045919888158,-0.8678524515162417,-0.8678524515162417,-0.8591590708561618
-0.867310052876206,-0.8670157432845798,-0.8692931431597577,-0.8684812480065931,-0.8684812480065931,-0.8596961610640192
-0.8678703859745006,-0.86735122932031,-0.8690399559374372,-0.8682735199658852,-0.8682735199658852,-0.8598242510853904
-0.8676837947863238,-0.8652420535569841,-0.8690997753588328,-0.8661757198727326,-0.8661757198727326,-0.8587289234119169
-0.8655847095789098,-0.8655735818118196,-0.86750108845733,-0.866960610235469,-0.866960610235469,-0.8594847616061184
-0.8663701750839585,-0.8663402671469742,-0.8682489163372862,-0.8676859436462502,-0.8676859436462502,-0.8596839239622833
-0.8671015104552471,-0.8668627964212989,-0.8688553713564333,-0.8681317719842089,-0.8681317719842089,-0.8599635336415546
-0.867592495623932,-0.8673690690641458,-0.8690244400243222,-0.8684376584230441,-0.8684376584230441,-0.8602994402562125
-0.8678472490630272,-0.8677103988655633,-0.8705016312606447,-0.8698307665926306,-0.8698307665926306,-0.8598511121243267
-0.8692531042904105,-0.8686727732395486,-0.870635758796578,-0.8699376547069533,-0.8699376547069533,-0.8593870945969587
-0.8693054892117152,-0.8683217013511682,-0.8705586292511813,-0.8692219245549299,-0.8692219245549299,-0.8592716908411089
-0.8685983527241466,-0.868297224427353,-0.870088223158469,-0.8694295288913534,-0.8694295288913534,-0.8597144775453628
-0.8688128197322089,-0.8686553590036118,-0.8705904926364372,-0.8699622889878412,-0.8699622889878412,-0.8599469824783446
-0.869362053507668,-0.8691303967653129,-0.8715577836178497,-0.8709326444263731,-0.8709326444263731,-0.8594704771531745
-0.8703155256865778,-0.8699345881133127,-0.873607707709065,-0.8728437956888855,-0.8728437956888855,-0.8586173114340697
-0.8722472912666919,-0.8713158629361392,-0.8759536452907297,-0.8733648933260655,-0.8733648933260655,-0.8567333515961362
